distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,Salesman.Pendur Laxman  Talamadugu,4,2019,37,1028,0,1065,123,3247,0,3370,1295,19482,0,20777,0,1203,0,1203,1295,18279,0,19574,0,0,0,0,0,100.0,1295,18279,0,19574
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,4,2019,17,556,0,573,63,1837,0,1900,595,11022,0,11617,5,852,0,857,590,10170,0,10760,0,0,0,0,0,100.0,590,10170,0,10760
532,Adilabad,532001,Talamadugu,1901003,Gajanan  Umdam,4,2019,17,267,0,284,62,894,0,956,595,5364,0,5959,35,678,0,713,560,4686,0,5246,0,0,0,0,0,100.0,560,4686,0,5246
532,Adilabad,532001,Talamadugu,1901004,R.Rakesh  Lingi,4,2019,14,381,1,396,47,1304,1,1352,490,7824,10,8324,0,354,0,354,490,7470,10,7970,0,0,0,0,0,100.0,490,7470,10,7970
532,Adilabad,532001,Talamadugu,1901005,Manohar  Kuchulapur,4,2019,140,785,0,925,499,2855,0,3354,4900,17130,0,22030,140,552,0,692,4760,16578,0,21338,0,0,0,0,0,100.0,4760,16578,0,21338
532,Adilabad,532001,Talamadugu,1901006,K.Subash  Khodad,4,2019,37,481,0,518,111,1534,0,1645,1295,9204,0,10499,35,775,0,810,1260,8429,0,9689,0,0,0,0,0,100.0,1260,8429,0,9689
532,Adilabad,532001,Talamadugu,1901007,B.Swarupa  Ruyyadi,4,2019,9,532,0,541,35,1696,0,1731,315,10176,0,10491,35,972,0,1007,280,9204,0,9484,0,0,0,0,0,100.0,280,9204,0,9484
532,Adilabad,532001,Talamadugu,1901008,Salesman.Bharath  Umri,4,2019,68,297,0,365,223,985,0,1208,2380,5910,0,8290,210,206,0,416,2170,5704,0,7874,0,0,0,0,0,100.0,2170,5704,0,7874
532,Adilabad,532001,Talamadugu,1901009,Salesman.Bharath  Palsi-B,4,2019,19,310,0,329,69,1179,0,1248,665,7074,0,7739,0,420,0,420,665,6654,0,7319,0,0,0,0,0,100.0,665,6654,0,7319
532,Adilabad,532001,Talamadugu,1901010,G.Jyothi  Bharampur,4,2019,105,789,0,894,366,2787,0,3153,3675,16722,0,20397,176,618,0,794,3499,16104,0,19603,0,0,0,0,0,100.0,3499,16104,0,19603
532,Adilabad,532001,Talamadugu,1901011,Ganganna  Khajjarla,4,2019,5,574,1,580,13,1869,1,1883,175,11214,10,11399,0,798,10,808,175,10416,0,10591,0,0,0,0,0,100.0,175,10416,0,10591
532,Adilabad,532001,Talamadugu,1901012,MD.Musa  Devapur,4,2019,29,799,0,828,74,2700,0,2774,1015,16200,0,17215,0,1083,0,1083,1015,15117,0,16132,0,0,0,0,0,100.0,1015,15117,0,16132
532,Adilabad,532001,Talamadugu,1901013,K.Ramulu  Palli -B,4,2019,22,406,0,428,68,1419,0,1487,770,8514,0,9284,0,756,0,756,770,7758,0,8528,0,0,0,0,0,100.0,770,7758,0,8528
